date,task,hours,rate
3/4/2014,worked on project 1,1,47
3/4/2014,worked on project 2,3,47
3/4/2014,worked on project 3,2,47
3/4/2014,worked on project 4,2,47
3/5/2014,worked on project 5,4,47
3/5/2014,worked on project 6,2,47
3/5/2014,worked on project 7,2,47
3/6/2014,worked on project 8,6,47
3/6/2014,worked on project 9,2,47
3/7/2014,worked on project 10,4,47
3/7/2014,worked on project 11,4,47
3/10/2014,worked on project 12,8,47
3/11/2014,worked on project 13,8,47
3/12/2014,worked on project 14,7,47
3/12/2014,worked on project 15,1,47
3/13/2014,worked on project 16,3,47
3/13/2014,worked on project 17,5,47
3/14/2014,worked on project 18,2,47
3/14/2014,worked on project 19,6,47
3/17/2014,worked on project 20,8,47
3/18/2014,worked on project 21,8,47
3/19/2014,worked on project 22,4,47
3/19/2014,worked on project 23,4,47
3/20/2014,worked on project 24,8,47
3/21/2014,worked on project 25,6,47
3/21/2014,worked on project 26,2,47
3/24/2014,worked on project 27,7,47
3/25/2014,worked on project 28,3,47
3/25/2014,worked on project 29,5,47
3/26/2014,worked on project 30,8,47
3/27/2014,worked on project 31,2,47
3/27/2014,worked on project 32,6,47
3/28/2014,worked on project 33,3,47
3/28/2014,worked on project 34,5,47
3/31/2014,worked on project 35,8,47
4/1/2014,worked on project 36,2,47
4/1/2014,worked on project 37,1,47
4/1/2014,worked on project 38,1,47
4/1/2014,worked on project 39,2,47
4/1/2014,worked on project 40,2,47
4/2/2014,worked on project 41,4,47
4/2/2014,worked on project 42,4,47
4/3/2014,worked on project 43,2,47
4/3/2014,worked on project 44,6,47
4/4/2014,worked on project 45,6,47
4/4/2014,worked on project 46,2,47
4/7/2014,worked on project 47,6,47
4/7/2014,worked on project 48,2,47
4/8/2014,worked on project 49,3,47
4/8/2014,worked on project 50,3,47
4/10/2014,worked on project 51,4,47
4/10/2014,worked on project 52,4,47
4/11/2014,worked on project 53,6,47
4/11/2014,worked on project 54,2,47
4/14/2014,worked on project 55,5,47
4/15/2014,worked on project 56,8,47
4/16/2014,worked on project 57,4,47
4/16/2014,worked on project 58,4,47
4/17/2014,worked on project 59,4,47
4/17/2014,worked on project 60,3,47
4/17/2014,worked on project 61,1,47
4/18/2014,worked on project 62,3,47
4/18/2014,worked on project 63,3,47
4/18/2014,worked on project 64,2,47
4/21/2014,worked on project 65,8,47
4/22/2014,worked on project 66,4,47
4/22/2014,worked on project 67,4,47
4/23/2014,worked on project 68,6,47
4/24/2014,worked on project 69,2,47
4/24/2014,worked on project 70,3,47
4/24/2014,worked on project 71,3,47
4/25/2014,worked on project 72,3,47
4/25/2014,worked on project 73,5,47
4/28/2014,worked on project 74,1,47
4/28/2014,worked on project 75,2,47
4/28/2014,worked on project 76,3,47
4/28/2014,worked on project 77,2,47
4/29/2014,worked on project 78,3,47
4/30/2014,worked on project 79,3,47
4/30/2014,worked on project 80,2,47
4/30/2014,worked on project 81,3,47
5/1/2014,worked on project 82,8,47
5/2/2014,worked on project 83,2,47
5/2/2014,worked on project 84,3,47
5/2/2014,worked on project 85,3,47
5/5/2014,worked on project 86,6,47
5/5/2014,worked on project 87,2,47
5/6/2014,worked on project 88,6,47
5/6/2014,worked on project 89,2,47
5/8/2014,worked on project 90,8,47
5/9/2014,worked on project 91,8,47
5/12/2014,worked on project 92,8,47
5/13/2014,worked on project 93,8,47
5/14/2014,worked on project 94,4,47
5/14/2014,worked on project 95,4,47
5/15/2014,worked on project 96,5,47
5/15/2014,worked on project 97,3,47
5/16/2014,worked on project 98,4,47
5/16/2014,worked on project 99,4,47
5/20/2014,worked on project 100,8,47
5/21/2014,worked on project 101,4,47
5/21/2014,worked on project 102,2,47
5/21/2014,worked on project 103,2,47
5/22/2014,worked on project 104,4,47
5/22/2014,worked on project 105,4,47
5/23/2014,worked on project 106,4,47
5/23/2014,worked on project 107,4,47
5/28/2014,worked on project 108,5,47
6/3/2014,worked on project 109,5,47
6/3/2014,worked on project 110,3,47
6/4/2014,worked on project 111,2,47
6/4/2014,worked on project 112,2,47
6/4/2014,worked on project 113,2,47
6/4/2014,worked on project 114,2,47
6/5/2014,worked on project 115,8,47
6/6/2014,worked on project 116,5,47
6/6/2014,worked on project 117,3,47
6/9/2014,worked on project 118,8,47
6/10/2014,worked on project 119,4,47
6/10/2014,worked on project 120,4,47
6/11/2014,worked on project 121,4,47
6/11/2014,worked on project 122,4,47
6/12/2014,worked on project 123,8,47
6/13/2014,worked on project 124,4,47
6/13/2014,worked on project 125,4,47
6/16/2014,worked on project 126,6,47
6/16/2014,worked on project 127,2,47
6/17/2014,worked on project 128,2,47
6/17/2014,worked on project 129,4,47
6/17/2014,worked on project 130,2,47
6/18/2014,worked on project 131,2,47
6/18/2014,worked on project 132,2,47
6/18/2014,worked on project 133,4,47
6/19/2014,worked on project 134,2,47
6/19/2014,worked on project 135,6,47
6/20/2014,worked on project 136,6,47
6/20/2014,worked on project 137,2,47
6/23/2014,worked on project 138,2,47
6/23/2014,worked on project 139,6,47
6/24/2014,worked on project 140,4,47
6/24/2014,worked on project 141,4,47
6/25/2014,worked on project 142,8,47
6/26/2014,worked on project 143,8,47
6/27/2014,worked on project 144,8,47
6/30/2014,worked on project 145,8,47
7/1/2014,worked on project 146,1,47
7/1/2014,worked on project 147,4,47
7/2/2014,worked on project 148,2,47
7/2/2014,worked on project 149,3,47
7/2/2014,worked on project 150,4,47
7/3/2014,worked on project 151,10,47
7/7/2014,worked on project 152,9,47
7/8/2014,worked on project 153,6,47
7/8/2014,worked on project 154,2,47
7/9/2014,worked on project 155,2,47
7/9/2014,worked on project 156,3,47
7/9/2014,worked on project 157,3,47
7/10/2014,worked on project 158,3,47
7/10/2014,worked on project 159,4,47
7/10/2014,worked on project 160,1,47
7/11/2014,worked on project 161,1,47
7/11/2014,worked on project 162,2,47
7/11/2014,worked on project 163,1,47
7/11/2014,worked on project 164,4,47
7/14/2014,worked on project 165,4,47
7/14/2014,worked on project 166,2,47
7/14/2014,worked on project 167,2,47
7/15/2014,worked on project 168,4,47
7/15/2014,worked on project 169,2,47
7/15/2014,worked on project 170,2,47
7/16/2014,worked on project 171,4,47
7/16/2014,worked on project 172,2,47
7/16/2014,worked on project 173,2,47
7/17/2014,worked on project 174,5,47
7/17/2014,worked on project 175,2,47
7/17/2014,worked on project 176,1,47
7/18/2014,worked on project 177,4,47
7/18/2014,worked on project 178,4,47
7/21/2014,worked on project 179,4,47
7/21/2014,worked on project 180,4,47
7/22/2014,worked on project 181,6,47
7/22/2014,worked on project 182,2,47
7/23/2014,worked on project 183,6,47
7/23/2014,worked on project 184,2,47
7/24/2014,worked on project 185,4,47
7/24/2014,worked on project 186,4,47
7/25/2014,worked on project 187,4,47
7/25/2014,worked on project 188,4,47
8/4/2014,worked on project 189,8,47
8/5/2014,worked on project 190,4,47
8/5/2014,worked on project 191,2,47
8/5/2014,worked on project 192,2,47
8/6/2014,worked on project 193,8,47
8/7/2014,worked on project 194,8,47
8/11/2014,worked on project 195,8,47
8/12/2014,worked on project 196,8,47
8/13/2014,worked on project 197,8,47
8/14/2014,worked on project 198,2,47
8/14/2014,worked on project 199,6,47
8/15/2014,worked on project 200,4,47
8/15/2014,worked on project 201,4,47
8/18/2014,worked on project 202,8,47
8/19/2014,worked on project 203,8,47
8/20/2014,worked on project 204,8,47
8/21/2014,worked on project 205,8,47
8/22/2014,worked on project 206,8,47
8/25/2014,worked on project 207,8,47
8/26/2014,worked on project 208,8,47
8/27/2014,worked on project 209,4,47
8/27/2014,worked on project 210,4,47
8/28/2014,worked on project 211,8,47
8/29/2014,worked on project 212,2,47
8/29/2014,worked on project 213,6,47
9/2/2014,worked on project 214,8,47
9/3/2014,worked on project 215,6,47
9/3/2014,worked on project 216,2,47
9/4/2014,worked on project 217,8,47
9/5/2014,worked on project 218,8,47
9/8/2014,worked on project 219,4,47
9/8/2014,worked on project 220,4,47
9/9/2014,worked on project 221,4,47
9/9/2014,worked on project 222,4,47
9/10/2014,worked on project 223,8,47
9/11/2014,worked on project 224,1,47
9/11/2014,worked on project 225,1,47
9/11/2014,worked on project 226,6,47
9/12/2014,worked on project 227,8,47
9/15/2014,worked on project 228,1,47
9/15/2014,worked on project 229,4,47
9/16/2014,worked on project 230,5,47
9/16/2014,worked on project 231,2,47
9/16/2014,worked on project 232,1,47
9/17/2014,worked on project 233,3,47
9/17/2014,worked on project 234,3,47
9/17/2014,worked on project 235,2,47
9/18/2014,worked on project 236,2,47
9/18/2014,worked on project 237,6,47
9/19/2014,worked on project 238,6,47
9/19/2014,worked on project 239,2,47
9/22/2014,worked on project 240,8,47
9/23/2014,worked on project 241,8,47
9/24/2014,worked on project 242,8,47
9/25/2014,worked on project 243,8,47
9/26/2014,worked on project 244,8,47
9/29/2014,worked on project 245,8,47
9/30/2014,worked on project 246,4,47
9/30/2014,worked on project 247,4,47
10/1/2014,worked on project 248,8,47
10/6/2014,worked on project 249,2,47
10/6/2014,worked on project 250,4,47
10/6/2014,worked on project 251,2,47
10/7/2014,worked on project 252,8,47
10/8/2014,worked on project 253,4,47
10/8/2014,worked on project 254,2,47
10/8/2014,worked on project 255,2,47
10/9/2014,worked on project 256,2,47
10/9/2014,worked on project 257,2,47
10/9/2014,worked on project 258,4,47
10/10/2014,worked on project 259,2,47
10/10/2014,worked on project 260,2,47
10/10/2014,worked on project 261,2,47
10/10/2014,worked on project 262,2,47
10/13/2014,worked on project 263,8,47
10/14/2014,worked on project 264,8,47
10/15/2014,worked on project 265,8,47
10/16/2014,worked on project 266,7,47
10/17/2014,worked on project 267,2,47
10/17/2014,worked on project 268,2,47
10/20/2014,worked on project 269,2,47
10/20/2014,worked on project 270,6,47
10/21/2014,worked on project 271,8,47
10/22/2014,worked on project 272,8,47
10/23/2014,worked on project 273,2,47
10/23/2014,worked on project 274,6,47
10/24/2014,worked on project 275,4,47
10/24/2014,worked on project 276,4,47
10/27/2014,worked on project 277,4,47
10/27/2014,worked on project 278,4,47
10/28/2014,worked on project 279,8,47
10/29/2014,worked on project 280,4,47
10/29/2014,worked on project 281,4,47
10/30/2014,worked on project 282,5,47
10/30/2014,worked on project 283,2,47
10/31/2014,worked on project 284,6,47
10/31/2014,worked on project 285,2,47
11/3/2014,worked on project 286,8,47
11/4/2014,worked on project 287,3,47
11/4/2014,worked on project 288,1,47
11/4/2014,worked on project 289,3,47
11/5/2014,worked on project 290,8,47
11/6/2014,worked on project 291,4,47
11/6/2014,worked on project 292,4,47
11/7/2014,worked on project 293,4,47
11/7/2014,worked on project 294,4,47
11/10/2014,worked on project 295,7,47
11/10/2014,worked on project 296,1,47
11/11/2014,worked on project 297,8,47
11/12/2014,worked on project 298,4,47
11/12/2014,worked on project 299,4,47
11/13/2014,worked on project 300,8,47
11/14/2014,worked on project 301,8,47
11/17/2014,worked on project 302,8,47
11/18/2014,worked on project 303,8,47
11/19/2014,worked on project 304,8,47
11/20/2014,worked on project 305,4,47
11/20/2014,worked on project 306,4,47
11/21/2014,worked on project 307,8,47
